"tract"	"poverty"	"unemployment"	"pop_loss"	"remote_rural"
"1"	1005950100	TRUE	FALSE	FALSE	FALSE
"2"	1005950500	TRUE	FALSE	FALSE	FALSE
"3"	1005950700	TRUE	FALSE	FALSE	FALSE
"4"	1005950800	TRUE	FALSE	FALSE	FALSE
"5"	1011952300	TRUE	TRUE	FALSE	FALSE
"6"	1013952700	TRUE	TRUE	FALSE	FALSE
"7"	1013952800	TRUE	TRUE	FALSE	FALSE
"8"	1013953200	TRUE	TRUE	FALSE	FALSE
"9"	1013953300	TRUE	TRUE	FALSE	FALSE
"10"	1013953500	TRUE	TRUE	FALSE	FALSE
"11"	1017953800	FALSE	TRUE	FALSE	FALSE
"12"	1017953900	FALSE	TRUE	FALSE	FALSE
"13"	1017954000	FALSE	TRUE	FALSE	FALSE
"14"	1017954200	FALSE	TRUE	FALSE	FALSE
"15"	1017954300	FALSE	TRUE	FALSE	FALSE
"16"	1017954500	FALSE	TRUE	FALSE	FALSE
"17"	1017954600	FALSE	TRUE	FALSE	FALSE
"18"	1017954700	FALSE	TRUE	FALSE	FALSE
"19"	1023956800	TRUE	FALSE	FALSE	TRUE
"20"	1023956900	TRUE	FALSE	FALSE	TRUE
"21"	1025957500	TRUE	TRUE	TRUE	TRUE
"22"	1025957600	TRUE	TRUE	TRUE	TRUE
"23"	1025957902	TRUE	TRUE	TRUE	TRUE
"24"	1025958000	TRUE	TRUE	TRUE	TRUE
"25"	1027958900	FALSE	TRUE	FALSE	TRUE
"26"	1027959000	FALSE	TRUE	FALSE	TRUE
"27"	1027959100	FALSE	TRUE	FALSE	TRUE
"28"	1027959200	FALSE	TRUE	FALSE	TRUE
"29"	1035960200	TRUE	TRUE	FALSE	TRUE
"30"	1035960300	TRUE	TRUE	FALSE	TRUE
"31"	1035960600	TRUE	TRUE	FALSE	TRUE
"32"	1037961100	FALSE	TRUE	FALSE	TRUE
"33"	1037961200	FALSE	TRUE	FALSE	TRUE
"34"	1041963400	FALSE	FALSE	FALSE	FALSE
"35"	1041963500	FALSE	FALSE	FALSE	FALSE
"36"	1041963700	FALSE	FALSE	FALSE	FALSE
"37"	1047996100	TRUE	TRUE	TRUE	FALSE
"38"	1047996200	TRUE	TRUE	TRUE	FALSE
"39"	1047996300	TRUE	TRUE	TRUE	FALSE
"40"	1047996800	TRUE	TRUE	TRUE	FALSE
"41"	1047997100	TRUE	TRUE	TRUE	FALSE
"42"	1053969800	TRUE	FALSE	FALSE	FALSE
"43"	1053969900	TRUE	FALSE	FALSE	FALSE
"44"	1053970200	TRUE	FALSE	FALSE	FALSE
"45"	1053970300	TRUE	FALSE	FALSE	FALSE
"46"	1053970400	TRUE	FALSE	FALSE	FALSE
"47"	1053970500	TRUE	FALSE	FALSE	FALSE
"48"	1053970700	TRUE	FALSE	FALSE	FALSE
"49"	1075030000	FALSE	TRUE	FALSE	TRUE
"50"	1075030100	FALSE	TRUE	FALSE	TRUE
