"cbsa"	"md"	"csa"	"cbsa_name"	"md_name"	"csa_name"	"is_metro"	"fips"	"component_name"	"is_central"
"1"	10100	NA	NA	"Aberdeen, SD"	NA	NA	FALSE	46045	"Edmunds County"	FALSE
"2"	10140	NA	NA	"Aberdeen, WA"	NA	NA	FALSE	53027	"Grays Harbor County"	TRUE
"3"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48059	"Callahan County"	FALSE
"4"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48253	"Jones County"	FALSE
"5"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48441	"Taylor County"	TRUE
"6"	10220	NA	NA	"Ada, OK"	NA	NA	FALSE	40123	"Pontotoc County"	TRUE
"7"	10300	NA	220	"Adrian, MI"	NA	"Detroit-Warren-Ann Arbor, MI"	FALSE	26091	"Lenawee County"	TRUE
"8"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72003	"Aguada Municipio"	TRUE
"9"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72005	"Aguadilla Municipio"	TRUE
"10"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72011	"Añasco Municipio"	TRUE
"11"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72071	"Isabela Municipio"	TRUE
"12"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72081	"Lares Municipio"	TRUE
"13"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72099	"Moca Municipio"	TRUE
"14"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72117	"Rincón Municipio"	TRUE
"15"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72131	"San Sebastián Municipio"	TRUE
"16"	10380	NA	NA	"Aguadilla-Isabela, PR"	NA	NA	TRUE	72141	"Utuado Municipio"	TRUE
"17"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Canton, OH"	TRUE	39133	"Portage County"	TRUE
"18"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Canton, OH"	TRUE	39153	"Summit County"	TRUE
"19"	10460	NA	NA	"Alamogordo, NM"	NA	NA	FALSE	35035	"Otero County"	TRUE
"20"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13095	"Dougherty County"	TRUE
"21"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13177	"Lee County"	TRUE
"22"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13273	"Terrell County"	FALSE
"23"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13321	"Worth County"	FALSE
"24"	10540	NA	440	"Albany-Lebanon, OR"	NA	"Portland-Vancouver-Salem, OR-WA"	TRUE	41043	"Linn County"	TRUE
"25"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady, NY"	TRUE	36001	"Albany County"	TRUE
"26"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady, NY"	TRUE	36083	"Rensselaer County"	TRUE
"27"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady, NY"	TRUE	36091	"Saratoga County"	TRUE
"28"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady, NY"	TRUE	36093	"Schenectady County"	TRUE
